Prix_de_vente,CONDO,5PLEX_ET_MOINS,6PLEX_ET_PLUS,UNIFAMILIALE,ETAGES,AGE,AIRE_HABITABLE,TAXES_AN,Prox_Parc,Prox_Metro
620000,1,0,0,0,1,56,114,3969,1,1
510000,1,0,0,0,1,56,63,2073,1,1
272000,1,0,0,0,1,33,45,1367,0,0
356000,1,0,0,0,1,23,60,1377,1,1
560000,1,0,0,0,1,115,103,2958,1,0
425000,1,0,0,0,1,111,84,2757,0,0
575000,1,0,0,0,1,115,89,3578,0,0
1425000,1,0,0,0,1,115,399,11216,0,1
700000,1,0,0,0,1,115,91,3686,0,0
670000,1,0,0,0,1,108,103,4027,0,1
388000,1,0,0,0,1,41,68,1916,0,0
934000,1,0,0,0,1,56,147,5053,0,0
394500,1,0,0,0,1,12,56,2100,1,1
435000,1,0,0,0,1,40,72,2176,0,0
501000,1,0,0,0,1,99,79,2302,0,1
475000,1,0,0,0,1,103,70,2361,0,0
650000,1,0,0,0,1,56,131,3856,1,0
730000,1,0,0,0,1,87,117,3992,0,0
620000,1,0,0,0,1,115,106,3997,0,0
525000,1,0,0,0,1,96,90,3208,0,0
470000,1,0,0,0,1,95,83,2657,0,0
815000,1,0,0,0,1,95,127,4652,0,0
475000,1,0,0,0,1,75,76,3036,0,1
486000,1,0,0,0,1,95,100,2490,1,0
465000,1,0,0,0,1,101,77,2502,1,0
460000,1,0,0,0,1,85,75,2929,1,0
725000,1,0,0,0,1,23,108,4288,1,1
665000,1,0,0,0,1,23,104,3962,0,1
960000,1,0,0,0,1,26,102,6260,0,0
653000,1,0,0,0,2,85,96,3708,1,0
706000,1,0,0,0,1,23,105,4304,0,1
505000,1,0,0,0,1,42,116,3645,0,0
580000,1,0,0,0,1,63,78,3187,1,0
266500,1,0,0,0,1,17,46,1435,0,1
460000,1,0,0,0,1,107,98,2642,0,1
480000,1,0,0,0,1,37,91,3378,1,1
375000,1,0,0,0,1,37,90,2977,0,0
517500,1,0,0,0,1,22,84,4444,1,0
539000,1,0,0,0,1,94,107,3088,0,0
515000,1,0,0,0,1,37,89,2944,0,0
595000,1,0,0,0,1,22,89,3519,1,1
285000,1,0,0,0,1,63,40,1521,1,0
510000,1,0,0,0,1,22,70,2817,1,0
1300000,1,0,0,0,1,22,135,9612,0,1
750000,1,0,0,0,1,22,104,4629,1,0
1200000,1,0,0,0,1,22,150,8843,0,1
470000,1,0,0,0,1,63,70,2790,1,0
825000,1,0,0,0,1,22,107,5418,1,0
310000,1,0,0,0,1,63,35,1406,1,0
405000,1,0,0,0,1,63,60,2216,1,0
399000,1,0,0,0,1,37,70,2851,1,1
565000,1,0,0,0,1,63,78,3085,1,0
395000,1,0,0,0,1,37,69,2601,1,0
1105000,1,0,0,0,1,22,192,6306,1,1
1105000,1,0,0,0,1,22,57,2537,1,0
285000,1,0,0,0,1,40,55,1727,0,1
425000,1,0,0,0,1,37,69,2503,0,0
530000,1,0,0,0,1,22,79,3180,1,0
820000,1,0,0,0,1,22,105,5477,1,1
605000,1,0,0,0,1,22,89,3519,1,1
380000,1,0,0,0,1,63,60,2276,1,0
490000,1,0,0,0,1,63,77,2578,1,0
399000,1,0,0,0,1,40,63,1665,0,1
345000,1,0,0,0,1,40,41,1360,0,1
345000,1,0,0,0,1,40,22,1081,0,1
505000,1,0,0,0,1,42,116,3622,0,0
1325000,0,1,0,0,2,115,242,8321,0,0
343333,0,1,0,0,2,115,258,6789,0,0
1380000,0,1,0,0,2,100,243,8404,0,0
740000,0,1,0,0,2,100,175,5445,1,1
895000,0,1,0,0,2,100,175,4644,1,1
729200,0,1,0,0,2,100,103,3413,1,1
935000,0,1,0,0,2,100,181,6220,0,0
645000,0,1,0,0,2,100,134,3864,0,0
1260000,0,1,0,0,3,17,242,8039,1,1
1375000,0,1,0,0,2,82,144,6890,0,0
1875000,0,1,0,0,2,83,158,9913,0,0
732000,0,1,0,0,2,100,154,6031,0,0
550000,0,1,0,0,2,100,179,4691,1,1
817800,0,1,0,0,2,100,146,4815,1,1
714000,0,1,0,0,2,90,179,7090,0,0
1150000,0,1,0,0,2,100,210,7467,1,1
550000,0,1,0,0,2,100,179,5025,0,0
1665000,0,1,0,0,2,115,193,8367,0,0
840000,0,1,0,0,2,115,175,6143,0,0
450000,0,1,0,0,2,100,227,5517,0,0
700000,0,1,0,0,2,100,125,5148,0,1
400000,0,1,0,0,2,100,161,6254,1,1
728000,0,1,0,0,2,100,140,4289,0,1
477500,0,1,0,0,2,100,132,3102,1,1
536000,0,1,0,0,2,100,150,4298,0,1
1700000,0,1,0,0,2,100,121,7134,0,1
610000,0,1,0,0,1,115,179,3184,1,1
866030,0,1,0,0,2,100,177,5117,0,1
520000,0,1,0,0,2,100,113,3693,0,0
770000,0,1,0,0,2,100,160,4508,1,1
1210000,0,1,0,0,3,100,157,7276,0,0
1277000,0,1,0,0,3,100,181,6375,0,0
1085000,0,1,0,0,3,140,222,7096,0,1
1120000,0,1,0,0,3,100,262,7431,0,1
900000,0,1,0,0,3,100,199,6339,0,1
846000,0,1,0,0,2,100,145,4952,0,1
645000,0,1,0,0,2,100,146,4493,0,0
720000,0,1,0,0,2,100,171,5425,0,1
1100000,0,1,0,0,2,100,165,5298,0,0
990000,0,1,0,0,2,100,199,6705,0,0
705000,0,1,0,0,2,100,148,5417,0,0
1220000,0,1,0,0,2,100,162,7161,0,1
625000,0,1,0,0,2,100,189,4577,0,1
1665000,0,1,0,0,2,100,194,11050,0,0
615000,0,1,0,0,2,110,106,5463,0,0
